years_experience,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,job_posting_month,job_posting_year,hiring_urgency,job_openings,total_skills,job_title_business analyst,job_title_data analyst,job_title_data engineer,job_title_data scientist,job_title_machine learning engineer,company_size_medium,company_size_small,company_industry_education,company_industry_finance,company_industry_healthcare,company_industry_retail,company_industry_technology,country_canada,country_germany,country_india,country_singapore,country_uk,country_usa,remote_type_onsite,remote_type_remote,education_level_master,education_level_phd,salary
2,0,0,0,1,0,6,2024,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,158322
0,1,1,1,0,1,11,2026,3,9,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163666
14,1,0,1,0,1,3,2026,3,9,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,158556
9,0,1,0,1,1,3,2025,3,7,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,95775
5,1,1,1,0,0,12,2021,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,111873
6,1,0,1,1,0,5,2021,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,165878
14,0,0,0,0,0,8,2026,3,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,67027
4,1,0,1,0,1,8,2023,3,7,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,78392
2,0,0,0,0,1,5,2021,1,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,123840
9,1,0,0,0,1,4,2024,3,7,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,112408
10,0,1,0,1,0,12,2021,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,103157
13,0,1,1,0,1,1,2020,3,9,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,142392
6,1,1,0,0,1,11,2025,1,5,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,55663
6,1,0,0,0,0,1,2021,3,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,90698
2,1,1,0,1,1,7,2023,1,6,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,135535
3,1,1,1,0,0,11,2025,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,114339
2,0,0,1,1,0,1,2026,3,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,133680
6,0,1,1,0,0,1,2025,3,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,122049
2,0,1,1,0,1,8,2020,3,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,116197
13,0,0,0,0,1,3,2024,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,122869
3,1,1,1,0,0,1,2023,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,109735
5,1,0,0,1,1,1,2023,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99893
0,1,1,1,0,1,8,2024,1,5,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,121060
12,0,1,0,0,1,2,2020,2,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,63319
14,1,0,1,0,0,8,2020,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,125784
9,0,1,0,1,0,4,2024,3,7,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,92992
11,1,1,1,0,0,9,2021,2,6,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,154146
3,1,1,0,1,0,12,2023,1,5,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88124
2,0,1,1,1,0,10,2025,3,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,140635
4,1,0,1,0,0,5,2020,3,9,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,111931
8,1,0,0,0,1,5,2025,3,7,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,129662
5,0,0,1,1,0,4,2024,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,127141
13,1,0,0,1,1,4,2026,2,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,182849
3,1,1,1,0,1,11,2023,1,1,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,119087
2,0,0,1,0,0,11,2023,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,103913
2,1,0,0,0,1,10,2021,3,8,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,86748
4,1,0,0,0,1,5,2024,1,4,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,145728
2,1,1,1,0,0,5,2023,3,8,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,136806
13,0,0,1,1,1,11,2022,3,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,136365
6,1,1,0,1,1,5,2024,1,3,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,145486
6,1,0,0,0,0,10,2024,3,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,71541
11,0,1,1,1,0,8,2021,3,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,101542
4,1,0,1,1,0,4,2020,3,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76365
12,1,1,0,0,1,2,2023,2,3,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,109268
6,0,0,0,1,1,12,2020,3,9,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,121214
11,0,1,0,0,0,6,2024,2,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,94175
1,0,0,0,1,0,6,2025,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,139588
7,1,1,1,1,1,12,2024,3,2,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,130539
0,0,1,0,1,1,6,2021,1,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,93324
7,1,1,0,0,0,1,2025,3,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,91015
8,1,0,0,0,0,9,2022,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,71633
4,1,0,0,0,0,10,2022,1,5,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,49809
12,0,1,1,0,0,8,2026,3,8,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,63419
